receiver_time,seq,sender_time,is_tracked,calibration_dot_index,gaze_dir_x,gaze_dir_y,gaze_dir_z
1783924485.4503958,867,39.8726,1,6,-0.17155,-0.288076,0.942116
1783924485.502391,868,39.9144,1,6,-0.206373,-0.289087,0.934794
1783924485.529275,869,39.9604,1,6,-0.217758,-0.289384,0.932115
1783924485.582719,870,40.001,1,6,-0.217689,-0.289117,0.932214
1783924486.9579678,906,41.3878,1,7,0.004964,-0.295599,0.955299
1783924487.006515,907,41.4284,1,7,0.003955,-0.296914,0.954896
1783924487.0494652,908,41.4709,1,7,0.003702,-0.298766,0.954319
1783924487.085025,909,41.5141,1,7,0.004243,-0.299175,0.954189
1783924487.14113,910,41.5533,1,7,0.003842,-0.299023,0.954238
1783924487.166166,911,41.5958,1,7,0.003693,-0.298794,0.954311
1783924487.2145238,912,41.6371,1,7,0.003059,-0.29876,0.954324
1783924487.2604318,913,41.6796,1,7,0.001919,-0.299096,0.954221
1783924487.289524,914,41.7211,1,7,0.000576,-0.299364,0.954139
1783924487.3431501,915,41.7617,1,7,0.00061,-0.299799,0.954002
1783924487.373676,916,41.803,1,7,0.000783,-0.300037,0.953928
1783924487.421825,917,41.844,1,7,0.001359,-0.30019,0.953879
1783924487.470297,918,41.8862,1,7,0.000942,-0.300412,0.953809
1783924487.4993129,919,41.9297,1,7,0.000662,-0.300749,0.953703
1783924487.556192,920,41.9691,1,7,0.000461,-0.301739,0.95339
1783924487.582166,921,42.0107,1,7,0.000606,-0.30202,0.953302
1783924487.640617,922,42.0533,1,7,0.000685,-0.301256,0.953543
1783924487.664619,923,42.0938,1,7,0.000855,-0.30063,0.953741
1783924487.714505,924,42.1356,1,7,0.001919,-0.300254,0.953858
1783924487.757898,925,42.1785,1,7,0.003151,-0.300198,0.953872
1783924487.7899609,926,42.2199,1,7,0.003624,-0.30046,0.953787
1783924487.838528,927,42.2617,1,7,0.004109,-0.301342,0.953507
1783924487.886631,928,42.3049,1,7,0.004701,-0.301451,0.95347
1783924487.9172878,929,42.3482,1,7,0.004818,-0.302539,0.953125
1783924487.977254,930,42.3887,1,7,0.003908,-0.30302,0.952976
1783924489.139086,961,43.5703,1,8,0.223471,-0.298051,0.928023
1783924489.191065,962,43.6085,1,8,0.223347,-0.298774,0.92782
1783924489.2211359,963,43.6505,1,8,0.224082,-0.298835,0.927624
1783924489.2782562,964,43.6921,1,8,0.224788,-0.298673,0.927505
1783924489.3061619,965,43.7362,1,8,0.225322,-0.299846,0.926996
1783924489.3565152,966,43.7761,1,8,0.226591,-0.299275,0.926872
1783924489.389302,967,43.8174,1,8,0.22668,-0.299615,0.92674
1783924489.4406688,968,43.8592,1,8,0.225836,-0.300393,0.926694
1783924489.470939,969,43.9026,1,8,0.225815,-0.301005,0.926501
1783924489.52351,970,43.9427,1,8,0.226312,-0.301508,0.926216
1783924489.555926,971,43.985,1,8,0.226267,-0.301786,0.926137
1783924489.6051688,972,44.0256,1,8,0.226528,-0.301195,0.926265
1783924489.6375391,973,44.0677,1,8,0.226707,-0.300975,0.926293
1783924489.6919491,974,44.109,1,8,0.226635,-0.30072,0.926393
1783924489.7206268,975,44.1512,1,8,0.226219,-0.299699,0.926826
1783924489.77806,976,44.1918,1,8,0.218643,-0.360862,0.906628
1783924489.8037918,977,44.2337,1,8,0.192546,-0.323011,0.926602
1783924489.8639228,978,44.2749,1,8,0.194909,-0.321986,0.926464
1783924489.887938,979,44.3177,1,8,0.19714,-0.31012,0.930033
1783924489.941618,980,44.3609,1,8,0.219471,-0.306603,0.926189
1783924489.972578,981,44.404,1,8,0.219175,-0.305884,0.926497
1783924490.0299351,982,44.4434,1,8,0.219571,-0.304317,0.92692
1783924490.057058,983,44.4882,1,8,0.220328,-0.300909,0.927852
1783924490.10451,984,44.5289,1,8,0.221072,-0.298167,0.92856
1783924490.140329,985,44.5684,1,8,0.221106,-0.296531,0.929076
